Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge,Stationsname,Bundesland
2578,20030722,20240422,14,53.9995,11.4341,hdorf/Poel,Mecklenburg-Vorpommern
2595,20021010,20240422,181,49.789,7.4853,,Rheinland-Pfalz
2597,19950601,20240422,282,50.224,10.0792,"ingen, Bad",Bayern
2600,20041102,20240422,193,49.7363,10.1781,ingen,Bayern
2601,19921001,20240422,822,50.2218,8.4469,ner Feldberg/Taunus,Hessen
2618,20040810,20240422,732,50.8458,10.4803,ner Inselsberg,Thüringen
2625,20030316,20240422,39,52.739,12.4984,en,Brandenburg
2627,20030429,20240422,128,51.5554,13.8845,pkau-Klettwitz,Brandenburg
2629,20021022,20240422,46,51.7612,6.0954,e,Nordrhein-Westfalen
2638,19921105,20240422,974,48.1054,8.7548,peneck,Baden-Württemberg
2641,20040418,20240422,90,51.5185,12.9065,zschen bei Torgau,Sachsen
2662,20061017,20240422,59,52.5233,11.1261,te,Sachsen-Anhalt
2667,19931111,20240422,91,50.8645,7.1575,/Bonn,Nordrhein-Westfalen
2673,20070607,20240422,53,52.1331,11.7757,gsborn,Sachsen-Anhalt
2677,20060101,20240421,730,48.1413,8.4285,gsfeld/Schwarzwald,Baden-Württemberg
2680,20050405,20240422,289,50.284,10.4456,"gshofen, Bad",Bayern
2689,20040831,20240422,40,53.2279,9.6527,gsmoor,Niedersachsen
2700,20041024,20240422,416,48.8302,11.4872,hing,Bayern
2704,20030605,20240422,76,51.7511,12.0094,en (Anhalt),Sachsen-Anhalt
2708,20060606,20240422,742,47.6652,11.0805,"grub, Bad (Rosshof)",Bayern
2709,20021120,20240422,230,49.9164,10.2363,tzheim,Bayern
2712,19930812,20240422,428,47.6952,9.1307,tanz,Baden-Württemberg
2718,20020703,20240422,458,51.288,8.7928,ach-Rhena,Hessen
2733,20040907,20240422,46,52.7277,13.0121,men-Groß Ziethen,Brandenburg
2734,20051205,20240422,1,54.3237,9.0247,pel,Schleswig-Holstein
2740,20030416,20240422,897,47.6105,11.6462,th-Glashütte,Bayern
2749,20040513,20240422,52,54.0805,11.7425,dorf,Mecklenburg-Vorpommern
2750,20050731,20240422,310,50.2524,11.3209,ach,Bayern
2763,20051003,20240422,1,53.5039,7.1217,en-Leybuchtpolder,Niedersachsen
2779,20040920,20240422,59,53.1486,12.0851,ier,Brandenburg
2787,20041111,20240422,355,49.2428,9.6786,erzell-Rechbach,Baden-Württemberg
2792,20020821,20240418,494,48.3737,10.7605,orf/Schwaben-Biburg,Bayern
2794,19911101,20240422,40,52.9362,12.4093,tz,Brandenburg
2810,20061030,20240422,150,51.9446,8.7749,", Kreis Lippe-Hörste",Nordrhein-Westfalen
2812,19960828,20240422,156,48.3647,7.828,,Baden-Württemberg
2814,20020903,20240422,687,48.5122,9.7644,lingen,Baden-Württemberg
2822,20040831,20240422,26,53.6369,9.0979,tedt,Niedersachsen
2839,20061019,20240422,210,51.9262,10.3461,elsheim-Astfeld,Niedersachsen
2844,20070824,20240422,9,53.6956,8.6291,"en-Holßel, Kreis Cuxhaven",Niedersachsen
2850,20061009,20240422,778,48.1994,9.3327,enenslingen-Ittenhausen,Baden-Württemberg
2856,20030721,20240422,91,51.9173,13.0878,enlipsdorf,Brandenburg
2860,20020911,20240422,371,49.5076,10.7885,enzenn,Bayern
2878,19930121,20240422,117,51.3909,11.8786,"hstädt, Bad",Sachsen-Anhalt
2880,20050704,20240422,319,49.5522,9.6345,a-Königshofen-Heckfeld,Baden-Württemberg
